Al2O3_Bauxite;Fe2O3_Bauxite;T-SiO2_Bauxite;R-SiO2_Bauxite;TiO2_Bauxite;LOI_Bauxite;THA_Bauxite;Average_MC_RM;F-NaOH_Spend_Liquor;A/C_Spend_Liquor;SC_Spend_Liquor;F-NaOH_SLE_Outlet;A/C_SLE_Outlet;F-NaOH_BDH-P-102;A/C_BDH-P-102;F-NaOH_BOS;A/C_BOS;SiO2_BOS;SC_BOS;F-NaOH_PFS_Filtrate;A/C_PFS_Filtrate;F-NaOH_Pregnant_Liquor;A/C_Pregnant_Liquor;Na2CO3_Pregnant_Liquor;F/T-NaOH_Pregnant_Liquor
50.0295;13.853;8.2924;2.8531;1.3631;26.9646;44.898733;15.6;151.8;0.43;5.5;175.2;0.423;152.9;0.417;149.7;0.828;0.442;57.5;137;0.827;145.4;0.824;36.2;81.2903783
48.7351;15.6806;6.2505;2.6088;1.3791;27.045;43.591594;12.8;147.6;0.432;13.08;178.4;0.421;151.8;0.42;147.6;0.823;0.483;34.27;135.9;0.803;142.3;0.799;35.4;81.30453594
48.7351;15.6806;6.2505;2.6088;1.3791;27.045;43.591594;12.6;153.9;0.425;2.18;183.7;0.42;157.31;0.4;152.9;0.821;0.401;33.13;138;0.798;157.1;0.766;39.1;81.28543535
48.7351;15.6806;6.2505;2.6088;1.3791;27.045;43.591594;16.2;143.9;0.435;1.6;180.5;0.425;152.9;0.421;149.7;0.808;0.308;41.2;140.1;0.797;146.5;0.776;36.5;81.27176205
48.7351;15.6806;6.2505;2.6088;1.3791;27.045;43.591594;13.2;145.4;0.427;7.26;174.1;0.437;151.8;0.4222;144.4;0.859;0.426;18.45;135.9;0.841;143.3;0.823;35.7;81.27947423
51.4407;13.1486;12;3.4719;1.366;26.75;45.753477;14.8;148.6;0.456;3.92;172;0.427;153;0.419;150.9;0.815;0.398;53.38;135.9;0.757;139.1;0.809;34.4;81.41752389
51.4407;13.1486;12;3.4719;1.366;26.75;45.753477;12.475;150.8;0.451;1.78;168.8;0.432;146.5;0.416;145.4;0.8;0.506;34.75;134.8;0.809;140.1;0.812;34.9;81.28171216
51.4407;13.1486;12;3.4719;1.366;26.75;45.753477;14.6;145.1;0.457;1.43;171;0.452;153;0.44;150.8;0.825;0.462;64.4;136.1;0.821;146.3;0.813;36.4;81.30119648
49.54625;15.6131;8.2413;3.37845;1.31425;26.97615;43.5893435;13.7;145;0.47;26.1;174;0.44;156.2;0.417;150.6;0.851;0.542;42.9;140.6;0.778;142.8;0.846;35.6;81.26909828
49.54625;15.6131;8.2413;3.37845;1.31425;26.97615;43.5893435;8.625;146.1;0.456;4.21;166.2;0.461;142.8;0.46;148.4;0.793;0.621;35.4;133.9;0.798;139.5;0.777;34.7;81.3057587
